data,price,ClusterLabels,year,month,plotDate
2022-02-15,11500,1,2022,2,2
2022-02-15,13950,0,2022,2,2
2022-02-15,10000,0,2022,2,2
2022-02-15,9000,1,2022,2,2
2022-02-15,8900,1,2022,2,2
2022-02-15,6990,1,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,13900,1,2022,2,2
2022-02-15,13900,1,2022,2,2
2022-02-15,14250,0,2022,2,2
2022-02-15,10900,1,2022,2,2
2022-02-15,11500,0,2022,2,2
2022-02-15,9000,0,2022,2,2
2022-02-15,12000,1,2022,2,2
2022-02-15,16000,0,2022,2,2
2022-02-15,6800,1,2022,2,2
2022-02-15,5500,1,2022,2,2
2022-02-15,10200,1,2022,2,2
2022-02-15,10500,0,2022,2,2
2022-02-15,8290,1,2022,2,2
2022-02-15,13000,1,2022,2,2
2022-02-15,17990,0,2022,2,2
2022-02-15,12500,0,2022,2,2
2022-02-15,6000,1,2022,2,2
2022-02-15,6000,0,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,7800,1,2022,2,2
2022-02-15,10800,0,2022,2,2
2022-02-15,10200,1,2022,2,2
2022-02-15,6000,1,2022,2,2
2022-02-15,12800,0,2022,2,2
2022-02-15,16500,0,2022,2,2
2022-02-15,7300,1,2022,2,2
2022-02-15,11500,1,2022,2,2
2022-02-15,23000,0,2022,2,2
2022-02-15,12999,0,2022,2,2
2022-02-15,6500,0,2022,2,2
2022-02-15,5200,0,2022,2,2
2022-02-15,10000,0,2022,2,2
2022-02-15,10000,1,2022,2,2
2022-02-15,7000,1,2022,2,2
2022-02-15,6350,1,2022,2,2
2022-02-15,11500,1,2022,2,2
2022-02-15,10400,0,2022,2,2
2022-02-15,14900,0,2022,2,2
2022-02-15,7500,1,2022,2,2
2022-02-15,6500,1,2022,2,2
2022-02-15,19500,0,2022,2,2
2022-02-15,4500,1,2022,2,2
2022-02-15,13950,1,2022,2,2
2022-02-15,9500,1,2022,2,2
2022-02-15,19300,0,2022,2,2
2022-02-15,5600,1,2022,2,2
2022-02-15,12000,1,2022,2,2
2022-02-15,7500,0,2022,2,2
2022-02-15,12300,1,2022,2,2
2022-02-15,12000,1,2022,2,2
2022-02-15,7500,1,2022,2,2
2022-02-15,7950,1,2022,2,2
2022-02-15,13900,0,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,9500,0,2022,2,2
2022-02-15,10600,1,2022,2,2
2022-02-15,7900,1,2022,2,2
2022-02-15,13000,0,2022,2,2
2022-02-15,13000,0,2022,2,2
2022-02-15,9800,0,2022,2,2
2022-02-15,11900,0,2022,2,2
2022-02-15,9900,1,2022,2,2
2022-02-15,7999,1,2022,2,2
